flow_cfs,wse_ft_navd88
0.04,1329.69
0.9,1330.20
0.8,1330.73
0.8,1331.14
0.7,1331.40
1.5,1331.55
1.7,1331.57
1.8,1331.58
1.8,1331.58
1.8,1331.58
2.3,1331.61
3.1,1331.67
3.9,1331.73
4.6,1331.78
4.8,1331.80
4.9,1331.80
4.9,1331.80
13.2,1332.03
46.1,1332.59
74.2,1332.85
95.9,1333.00
103.0,1333.05
103.1,1333.05
103.1,1333.05
103.1,1333.05
182.7,1333.39
207.4,1333.46
211.3,1333.47
214.0,1333.48
214.9,1333.48
215.0,1333.48
215.0,1333.48
215.0,1333.48
215.6,1333.48
216.4,1333.48
217.2,1333.48
218.0,1333.49
218.2,1333.49
218.3,1333.49
218.3,1333.49
218.3,1333.49
218.7,1333.49
219.4,1333.49
220.1,1333.49
220.7,1333.49
221.0,1333.49
221.0,1333.49
221.0,1333.49
221.0,1333.49
