sta_ft,elev_ft
0,1331.494
0.168,1331.509
0.331,1331.49
1.417,1331.319
1.674,1331.291
1.98,1331.241
2.802,1331.129
3.18,1331.065
3.18,1331.065
3.629,1331.05
4.188,1331.041
4.685,1331.023
5.278,1330.939
5.573,1330.886
6.191,1330.803
7.697,1330.742
7.697,1330.742
8.343,1330.696
8.576,1330.669
9.202,1330.621
9.202,1330.621
9.728,1330.525
10.225,1330.424
10.708,1330.335
11.114,1330.23
11.874,1330.026
12.214,1329.938
12.214,1329.938
12.499,1329.819
13.524,1329.394
13.719,1329.313
13.719,1329.313
13.884,1329.253
15.225,1328.78
15.225,1328.78
15.269,1328.77
15.776,1328.655
15.776,1328.655
16.654,1328.462
16.731,1328.444
16.822,1328.423
18.04,1328.199
18.236,1328.152
18.236,1328.152
18.471,1328.12
19.425,1328.035
19.742,1327.988
19.742,1327.988
20.12,1327.929
20.81,1327.822
21.248,1327.753
21.248,1327.753
21.769,1327.688
22.195,1327.607
22.753,1327.544
22.753,1327.544
23.418,1327.511
23.58,1327.51
24.259,1327.47
24.259,1327.47
24.966,1327.45
25.067,1327.45
25.765,1327.433
25.765,1327.433
26.351,1327.51
26.716,1327.57
27.27,1327.646
27.27,1327.646
27.736,1327.685
28.365,1327.739
28.776,1327.773
28.776,1327.773
29.121,1327.846
30.014,1328.053
30.282,1328.11
30.282,1328.11
30.506,1328.188
31.787,1328.673
31.787,1328.673
31.892,1328.739
33.09,1329.526
33.09,1329.526
33.277,1329.649
33.293,1329.66
33.293,1329.66
33.312,1329.669
34.662,1330.364
34.799,1330.434
34.961,1330.469
36.047,1330.773
36.304,1330.824
36.304,1330.824
36.61,1330.847
37.432,1330.934
37.81,1330.96
37.81,1330.96
38.26,1330.945
38.818,1330.932
39.316,1330.915
39.316,1330.915
39.909,1330.913
40.203,1330.901
40.821,1330.903
40.821,1330.903
41.558,1330.959
41.588,1330.962
42.327,1331.015
42.327,1331.015
42.973,1330.933
43.207,1330.914
43.833,1330.84
43.833,1330.84
44.358,1330.848
44.856,1330.828
45.338,1330.831
45.338,1330.831
45.744,1330.863
46.505,1330.906
46.844,1330.932
46.844,1330.932
47.129,1330.918
48.154,1330.845
48.35,1330.835
48.35,1330.835
48.514,1330.83
49.803,1330.876
49.855,1330.875
49.855,1330.875
49.899,1330.873
50,1330.865
