sta_ft,elev_ft
0,1332.819
1.02,1332.932
1.148,1332.941
1.739,1332.932
2.105,1332.924
2.932,1332.939
3.19,1332.924
3.591,1332.853
4.275,1332.695
4.717,1332.618
6.36,1332.39
6.36,1332.39
6.446,1332.381
6.501,1332.377
7.531,1332.379
8.286,1332.421
8.616,1332.417
9.129,1332.38
9.129,1332.38
9.701,1332.356
10.07,1332.356
10.07,1332.356
10.787,1332.387
11.899,1332.403
11.899,1332.403
12.957,1332.335
13.639,1332.301
13.639,1332.301
14.668,1332.168
15.127,1332.109
15.423,1332.088
16.212,1332.066
16.792,1332.026
17.208,1332
17.208,1332
17.298,1331.994
18.383,1331.892
18.992,1331.826
18.992,1331.826
19.468,1331.804
20.207,1331.791
20.207,1331.791
20.553,1331.785
20.777,1331.788
20.777,1331.788
21.638,1331.76
22.561,1331.697
22.561,1331.697
22.724,1331.696
22.976,1331.702
22.976,1331.702
23.809,1331.755
24.345,1331.796
24.345,1331.796
24.894,1331.825
25.745,1331.844
25.979,1331.844
26.13,1331.844
26.13,1331.844
26.826,1331.911
27.064,1331.938
27.914,1331.971
27.914,1331.971
28.15,1331.956
28.515,1331.948
29.235,1331.989
29.699,1332.036
29.699,1332.036
30.32,1332.027
31.284,1331.903
31.284,1331.903
31.405,1331.879
31.483,1331.859
31.483,1331.859
31.844,1331.783
32.49,1331.629
33.268,1331.545
33.268,1331.545
33.575,1331.573
34.053,1331.673
34.053,1331.673
34.661,1331.806
35.052,1331.88
35.052,1331.88
35.746,1332.037
36.823,1332.217
36.823,1332.217
36.831,1332.219
36.861,1332.227
37.916,1332.5
38.621,1332.541
39.001,1332.496
39.592,1332.375
39.592,1332.375
40.087,1332.263
40.405,1332.21
40.405,1332.21
41.172,1332.275
41.879,1332.406
42.19,1332.457
42.19,1332.457
42.257,1332.463
42.361,1332.466
42.361,1332.466
43.342,1332.465
43.974,1332.528
43.974,1332.528
44.427,1332.542
45.131,1332.492
45.131,1332.492
45.512,1332.44
45.759,1332.409
45.759,1332.409
46.598,1332.32
46.896,1332.275
47.543,1332.184
47.543,1332.184
47.683,1332.17
47.9,1332.15
47.9,1332.15
49.327,1332.077
50,1332.098
