sta_ft,elev_ft
0,1333.392
0.656,1333.402
2.171,1333.299
2.171,1333.299
2.551,1333.297
3.431,1333.313
3.686,1333.313
3.686,1333.313
3.877,1333.303
5.199,1333.25
6.529,1333.072
6.716,1333.04
6.966,1333.05
7.855,1333.059
8.232,1333.076
8.232,1333.076
8.734,1333.021
9.181,1332.949
9.747,1332.897
9.747,1332.897
10.502,1332.587
10.506,1332.585
11.262,1332.246
11.262,1332.246
11.776,1332.172
11.776,1332.172
11.998,1332.109
12.876,1331.843
12.882,1331.841
12.925,1331.829
12.925,1331.829
13.766,1331.594
13.886,1331.562
14.046,1331.522
14.65,1331.37
14.896,1331.309
14.896,1331.309
15.534,1331.181
15.906,1331.107
15.906,1331.107
16.403,1331.011
16.417,1331.009
16.916,1330.911
16.916,1330.911
17.582,1330.76
17.927,1330.682
18.76,1330.505
18.937,1330.467
18.937,1330.467
19.069,1330.442
19.939,1330.284
19.947,1330.283
19.947,1330.283
19.953,1330.282
19.996,1330.279
19.996,1330.279
20.837,1330.229
20.957,1330.221
20.957,1330.221
21.721,1330.145
21.967,1330.115
22.296,1330.056
22.605,1329.999
22.977,1329.933
22.977,1329.933
23.474,1329.879
23.489,1329.877
23.987,1329.825
23.987,1329.825
24.372,1329.795
24.653,1329.774
24.998,1329.747
24.998,1329.747
25.256,1329.734
26.008,1329.699
26.008,1329.699
26.14,1329.69
27.01,1329.635
27.018,1329.634
27.018,1329.634
27.024,1329.634
27.908,1329.644
28.028,1329.646
28.028,1329.646
28.188,1329.652
28.792,1329.674
29.038,1329.684
29.038,1329.684
29.367,1329.695
29.676,1329.705
30.048,1329.718
30.545,1329.728
30.56,1329.728
31.059,1329.738
31.059,1329.738
31.444,1329.758
31.724,1329.784
32.069,1329.805
32.069,1329.805
32.327,1329.858
32.902,1329.976
33.079,1330.012
33.211,1330.047
34.081,1330.296
34.089,1330.299
34.089,1330.299
34.095,1330.301
34.138,1330.316
34.138,1330.316
34.979,1330.621
35.099,1330.669
35.099,1330.669
35.259,1330.751
36.109,1331.186
36.109,1331.186
37.022,1331.625
37.022,1331.625
37.037,1331.633
37.037,1331.633
38.349,1332.335
38.536,1332.428
38.536,1332.428
38.786,1332.525
39.675,1332.852
40.051,1333
40.051,1333
40.554,1333.067
41,1333.131
41.567,1333.205
42.322,1333.172
42.326,1333.171
43.082,1333.143
43.082,1333.143
43.652,1333.132
44.089,1333.104
44.597,1333.089
44.597,1333.089
44.978,1333.078
46.112,1333.022
46.112,1333.022
46.304,1333.029
47.625,1333.094
47.63,1333.094
47.643,1333.094
47.643,1333.094
48.955,1333.098
49.143,1333.098
49.143,1333.098
49.393,1333.114
50,1333.154
